L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/N,Term,Exercise,General Details,General Details,Signals,,Signals/ Optics,,,,,,,,,,,,,,,,,,,,,,,,,,Signal / Optics,Medic ,,,,Medic,Ammo,,Ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammo,,,,,,,,,,,,,,,,,,,,,,Ammo,Ration,Ration,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transport,,,,,,,,,,,,,,,,Others
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMMO COLLECTION BASE,"REMARKS
(E.g. No. of Rounds for Demonstration)",General Details,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Conventional Arms,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Section,Per Wing,Per Wing,Demolition,Per Wing,Per Wing,Per Cadet,Others,,,,"Start:
Date / Timing","End:
Date / Timing",LUV (HQ),MB290 (HQ),LUV (PLC),SOUV,5-Ton,GP Car,"Other Vehicles (Boats, Trailers, F550)",TO,Reporting Venue,Destination Venue,Parkover,Remarks,Indent ID,Military,Date/Timing,,Venue,,20 - seater,40 - seater,60 - seater,1 way / 2 way / Disposal,POC + Contact Number,Indent ID,Civilian,RPL,,,,Fast Craft,,,,Tekong,,Stores,,,,,,,,,Stores,ICCT Instructors,SOC Key,Link Bridge Key,M1 Gate Key,Others,
10,,(MIDS) CIS50MG TRAINING,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,CHANGI NAVAL BASE,-,1,-,DISPOSAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
11,,(MIDS) COMEX,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,SEMBAWANG CAMP,2,Y,,,PLAD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,0,Y,Y,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,SEMBAWANG CAMP (NDU),-,2,-,1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
12,,(MIDS) DAMAGE CONTROL TRAINING,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,CHANGI NAVAL BASE,-,1,-,DISPOSAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
13,,(MIDS) FIRE FIGHTING PRACTICAL,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,HOME TEAM TACTICAL CENTRE,-,1,-,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
14,,(MIDS) FMSS NAVAL TRAINING,-,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,TUAS NAVAL BASE,CHANGI NAVAL BASE,1,-,-,DISPOSAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
15,,(MIDS) IMT (NEE SOON CAMP),NEE SOON CAMP,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,NEE SOON CAMP,,3,,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
16,,(MIDS) MOBILE CRANE TRAINING,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,CHANGI NAVAL BASE,-,1,-,DISPOAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
17,,(MIDS) MSTD LOADING DAY,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,3,-,-,3,SAFTI MI,CHANGI NAVAL BASE,Y,-,-,Y,-,-,SAFTI MI,CHANGI NAVAL BASE,-,1,-,DISPOSAL,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
18,,(MIDS) MSTD UNLOADING DAY,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI,CHANGI NAVAL BASE,-,1,-,DISPOSAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
19,,(MIDS) NAVAL MUSEUM VISIT,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,SAFTI MI/MIDS,CHANGI NAVAL BASE,,1,,DISPOSAL / 1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
